bacterial infections and mycoses,c01
rna virus infections,c02.782
arenaviridae infections,c02.782.082
"hemorrhagic fever, american",c02.782.082.440
lassa fever,c02.782.082.545
lymphocytic choriomeningitis,c02.782.082.580
astroviridae infections,c02.782.105
birnaviridae infections,c02.782.123
bunyaviridae infections,c02.782.147
"encephalitis, california",c02.782.147.340
hantavirus infections,c02.782.147.420
hantavirus pulmonary syndrome,c02.782.147.420.380
hemorrhagic fever with renal syndrome,c02.782.147.420.400
"hemorrhagic fever, crimean",c02.782.147.444
nairobi sheep disease,c02.782.147.633
phlebotomus fever,c02.782.147.700
rift valley fever,c02.782.147.810
caliciviridae infections,c02.782.160
vesicular exanthema of swine,c02.782.160.927
"encephalitis, arbovirus",c02.782.310
"encephalitis, california",c02.782.310.340
"encephalitis, japanese",c02.782.310.345
"encephalitis, st. louis",c02.782.310.350
"encephalitis, tick-borne",c02.782.310.360
west nile fever,c02.782.310.950
flaviviridae infections,c02.782.350
flavivirus infections,c02.782.350.250
dengue,c02.782.350.250.214
severe dengue,c02.782.350.250.214.200
"encephalitis, japanese",c02.782.350.250.300
"encephalitis, st. louis",c02.782.350.250.450
"encephalitis, tick-borne",c02.782.350.250.500
"hemorrhagic fever, omsk",c02.782.350.250.560
kyasanur forest disease,c02.782.350.250.635
louping ill,c02.782.350.250.650
west nile fever,c02.782.350.250.900
yellow fever,c02.782.350.250.980
zika virus infection,c02.782.350.250.990
hepatitis c,c02.782.350.350
"hepatitis c, chronic",c02.782.350.350.120
pestivirus infections,c02.782.350.675
border disease,c02.782.350.675.100
bovine virus diarrhea-mucosal disease,c02.782.350.675.106
classical swine fever,c02.782.350.675.200
"hemorrhagic syndrome, bovine",c02.782.350.675.400
"hemorrhagic fevers, viral",c02.782.417
dengue,c02.782.417.214
severe dengue,c02.782.417.214.200
hemorrhagic fever with renal syndrome,c02.782.417.300
"hemorrhagic fever, american",c02.782.417.400
"hemorrhagic fever, crimean",c02.782.417.412
"hemorrhagic fever, ebola",c02.782.417.415
"hemorrhagic fever, omsk",c02.782.417.435
kyasanur forest disease,c02.782.417.475
lassa fever,c02.782.417.505
marburg virus disease,c02.782.417.560
rift valley fever,c02.782.417.762
yellow fever,c02.782.417.881
hepatitis d,c02.782.450
"hepatitis d, chronic",c02.782.450.100
hepatitis e,c02.782.455
mononegavirales infections,c02.782.580
borna disease,c02.782.580.124
filoviridae infections,c02.782.580.250
"hemorrhagic fever, ebola",c02.782.580.250.400
marburg virus disease,c02.782.580.250.500
paramyxoviridae infections,c02.782.580.600
avulavirus infections,c02.782.580.600.080
newcastle disease,c02.782.580.600.080.600
henipavirus infections,c02.782.580.600.400
morbillivirus infections,c02.782.580.600.500
distemper,c02.782.580.600.500.285
measles,c02.782.580.600.500.500
subacute sclerosing panencephalitis,c02.782.580.600.500.500.800
peste-des-petits-ruminants,c02.782.580.600.500.600
rinderpest,c02.782.580.600.500.700
pneumovirus infections,c02.782.580.600.550
respiratory syncytial virus infections,c02.782.580.600.550.750
respirovirus infections,c02.782.580.600.600
"pasteurellosis, pneumonic",c02.782.580.600.600.648
rubulavirus infections,c02.782.580.600.680
mumps,c02.782.580.600.680.500
rhabdoviridae infections,c02.782.580.830
ephemeral fever,c02.782.580.830.375
"hemorrhagic septicemia, viral",c02.782.580.830.450
rabies,c02.782.580.830.750
vesicular stomatitis,c02.782.580.830.825
nidovirales infections,c02.782.600
arterivirus infections,c02.782.600.100
porcine reproductive and respiratory syndrome,c02.782.600.100.700
coronaviridae infections,c02.782.600.550
coronavirus infections,c02.782.600.550.200
"enteritis, transmissible, of turkeys",c02.782.600.550.200.325
feline infectious peritonitis,c02.782.600.550.200.360
"gastroenteritis, transmissible, of swine",c02.782.600.550.200.400
severe acute respiratory syndrome,c02.782.600.550.200.750
torovirus infections,c02.782.600.550.800
orthomyxoviridae infections,c02.782.620
influenza in birds,c02.782.620.300
"influenza, human",c02.782.620.365
picornaviridae infections,c02.782.687
cardiovirus infections,c02.782.687.150
common cold,c02.782.687.207
enterovirus infections,c02.782.687.359
"conjunctivitis, acute hemorrhagic",c02.782.687.359.201
coxsackievirus infections,c02.782.687.359.213
"hand, foot and mouth disease",c02.782.687.359.213.331
herpangina,c02.782.687.359.213.466
"pleurodynia, epidemic",c02.782.687.359.213.737
echovirus infections,c02.782.687.359.347
herpangina,c02.782.687.359.347.500
"encephalomyelitis, enzootic porcine",c02.782.687.359.456
hepatitis a,c02.782.687.359.500
poliomyelitis,c02.782.687.359.764
"poliomyelitis, bulbar",c02.782.687.359.764.614
postpoliomyelitis syndrome,c02.782.687.359.764.650
swine vesicular disease,c02.782.687.359.855
foot-and-mouth disease,c02.782.687.484
reoviridae infections,c02.782.791
african horse sickness,c02.782.791.142
bluetongue,c02.782.791.315
colorado tick fever,c02.782.791.482
rotavirus infections,c02.782.791.814
retroviridae infections,c02.782.815
avian leukosis,c02.782.815.096
deltaretrovirus infections,c02.782.815.200
enzootic bovine leukosis,c02.782.815.200.260
htlv-i infections,c02.782.815.200.470
"paraparesis, tropical spastic",c02.782.815.200.470.710
htlv-ii infections,c02.782.815.200.480
lentivirus infections,c02.782.815.616
equine infectious anemia,c02.782.815.616.300
feline acquired immunodeficiency syndrome,c02.782.815.616.350
hiv infections,c02.782.815.616.400
acquired immunodeficiency syndrome,c02.782.815.616.400.040
acute retroviral syndrome,c02.782.815.616.400.044
"aids arteritis, central nervous system",c02.782.815.616.400.048
aids dementia complex,c02.782.815.616.400.049
aids-associated nephropathy,c02.782.815.616.400.050
aids-related complex,c02.782.815.616.400.080
aids-related opportunistic infections,c02.782.815.616.400.100
hiv enteropathy,c02.782.815.616.400.398
hiv seropositivity,c02.782.815.616.400.500
hiv wasting syndrome,c02.782.815.616.400.520
hiv-associated lipodystrophy syndrome,c02.782.815.616.400.550
"pneumonia, progressive interstitial, of sheep",c02.782.815.616.660
simian acquired immunodeficiency syndrome,c02.782.815.616.850
visna,c02.782.815.616.900
"leukemia, feline",c02.782.815.622
murine acquired immunodeficiency syndrome,c02.782.815.650
"pulmonary adenomatosis, ovine",c02.782.815.725
"sarcoma, avian",c02.782.815.800
togaviridae infections,c02.782.930
alphavirus infections,c02.782.930.100
chikungunya fever,c02.782.930.100.184
"encephalomyelitis, equine",c02.782.930.100.370
"encephalomyelitis, eastern equine",c02.782.930.100.370.162
"encephalomyelitis, venezuelan equine",c02.782.930.100.370.325
"encephalomyelitis, western equine",c02.782.930.100.370.662
rubivirus infections,c02.782.930.700
rubella,c02.782.930.700.700
"rubella syndrome, congenital",c02.782.930.700.700.700
sexually transmitted diseases,c02.800
"sexually transmitted diseases, viral",c02.800.801
condylomata acuminata,c02.800.801.220
buschke-lowenstein tumor,c02.800.801.220.500
herpes genitalis,c02.800.801.350
hiv infections,c02.800.801.400
acquired immunodeficiency syndrome,c02.800.801.400.040
acute retroviral syndrome,c02.800.801.400.044
"aids arteritis, central nervous system",c02.800.801.400.048
aids dementia complex,c02.800.801.400.070
aids-associated nephropathy,c02.800.801.400.072
aids-related complex,c02.800.801.400.080
hiv enteropathy,c02.800.801.400.480
hiv seropositivity,c02.800.801.400.500
hiv wasting syndrome,c02.800.801.400.520
hiv-associated lipodystrophy syndrome,c02.800.801.400.530
"skin diseases, viral",c02.825
erythema infectiosum,c02.825.260
exanthema subitum,c02.825.290
herpes simplex,c02.825.320
herpes labialis,c02.825.320.320
kaposi varicelliform eruption,c02.825.320.410
molluscum contagiosum,c02.825.550
warts,c02.825.810
condylomata acuminata,c02.825.810.110
buschke-lowenstein tumor,c02.825.810.110.500
epidermodysplasia verruciformis,c02.825.810.260
slow virus diseases,c02.839
acquired immunodeficiency syndrome,c02.839.040
aids-related complex,c02.839.080
aleutian mink disease,c02.839.091
equine infectious anemia,c02.839.375
feline acquired immunodeficiency syndrome,c02.839.400
"leukoencephalopathy, progressive multifocal",c02.839.550
"pneumonia, progressive interstitial, of sheep",c02.839.660
simian acquired immunodeficiency syndrome,c02.839.850
subacute sclerosing panencephalitis,c02.839.862
visna,c02.839.900
tumor virus infections,c02.928
avian leukosis,c02.928.120
"carcinoma, merkel cell",c02.928.216
epstein-barr virus infections,c02.928.313
burkitt lymphoma,c02.928.313.165
marek disease,c02.928.489
murine acquired immunodeficiency syndrome,c02.928.650
papillomavirus infections,c02.928.725
"pulmonary adenomatosis, ovine",c02.928.740
"sarcoma, avian",c02.928.800
warts,c02.928.914
condylomata acuminata,c02.928.914.217
buschke-lowenstein tumor,c02.928.914.217.500
epidermodysplasia verruciformis,c02.928.914.345
viremia,c02.937
zoonoses,c02.968
parasitic diseases,c03
central nervous system parasitic infections,c03.105
central nervous system helminthiasis,c03.105.250
neurocysticercosis,c03.105.250.550
neuroschistosomiasis,c03.105.250.600
central nervous system protozoal infections,c03.105.300
"malaria, cerebral",c03.105.300.500
"toxoplasmosis, cerebral",c03.105.300.800
coinfection,c03.202
"eye infections, parasitic",c03.300
acanthamoeba keratitis,c03.300.125
"onchocerciasis, ocular",c03.300.562
"toxoplasmosis, ocular",c03.300.781
helminthiasis,c03.335
cestode infections,c03.335.190
diphyllobothriasis,c03.335.190.304
sparganosis,c03.335.190.304.780
echinococcosis,c03.335.190.396
"echinococcosis, hepatic",c03.335.190.396.314
"echinococcosis, pulmonary",c03.335.190.396.480
hymenolepiasis,c03.335.190.519
monieziasis,c03.335.190.628
taeniasis,c03.335.190.902
cysticercosis,c03.335.190.902.185
neurocysticercosis,c03.335.190.902.185.550
"helminthiasis, animal",c03.335.349
dictyocaulus infections,c03.335.349.315
dirofilariasis,c03.335.349.320
fascioloidiasis,c03.335.349.444
monieziasis,c03.335.349.656
setariasis,c03.335.349.820
"strongyle infections, equine",c03.335.349.840
toxocariasis,c03.335.349.868
nematode infections,c03.335.508
adenophorea infections,c03.335.508.100
enoplida infections,c03.335.508.100.275
trichinellosis,c03.335.508.100.275.882
trichuriasis,c03.335.508.100.275.895
larva migrans,c03.335.508.523
"larva migrans, visceral",c03.335.508.523.780
secernentea infections,c03.335.508.700
ascaridida infections,c03.335.508.700.100
anisakiasis,c03.335.508.700.100.060
ascariasis,c03.335.508.700.100.070
ascaridiasis,c03.335.508.700.100.080
toxascariasis,c03.335.508.700.100.850
toxocariasis,c03.335.508.700.100.868
"larva migrans, visceral",c03.335.508.700.100.868.420
oxyurida infections,c03.335.508.700.550
oxyuriasis,c03.335.508.700.550.550
enterobiasis,c03.335.508.700.550.550.375
rhabditida infections,c03.335.508.700.700
strongyloidiasis,c03.335.508.700.700.799
spirurida infections,c03.335.508.700.750
dracunculiasis,c03.335.508.700.750.299
filariasis,c03.335.508.700.750.361
acanthocheilonemiasis,c03.335.508.700.750.361.137
dipetalonema infections,c03.335.508.700.750.361.275
dirofilariasis,c03.335.508.700.750.361.290
"elephantiasis, filarial",c03.335.508.700.750.361.350
loiasis,c03.335.508.700.750.361.518
mansonelliasis,c03.335.508.700.750.361.588
onchocerciasis,c03.335.508.700.750.361.699
"onchocerciasis, ocular",c03.335.508.700.750.361.699.500
setariasis,c03.335.508.700.750.361.852
gnathostomiasis,c03.335.508.700.750.380
strongylida infections,c03.335.508.700.775
hookworm infections,c03.335.508.700.775.455
ancylostomiasis,c03.335.508.700.775.455.154
necatoriasis,c03.335.508.700.775.455.683
oesophagostomiasis,c03.335.508.700.775.583
"strongyle infections, equine",c03.335.508.700.775.773
trichostrongyloidiasis,c03.335.508.700.775.825
dictyocaulus infections,c03.335.508.700.775.825.315
haemonchiasis,c03.335.508.700.775.825.400
ostertagiasis,c03.335.508.700.775.825.580
trichostrongylosis,c03.335.508.700.775.825.842
trematode infections,c03.335.865
clonorchiasis,c03.335.865.148
dicrocoeliasis,c03.335.865.224
echinostomiasis,c03.335.865.282
fascioliasis,c03.335.865.354
fascioloidiasis,c03.335.865.399
opisthorchiasis,c03.335.865.685
paragonimiasis,c03.335.865.741
schistosomiasis,c03.335.865.859
neuroschistosomiasis,c03.335.865.859.213
schistosomiasis haematobia,c03.335.865.859.427
schistosomiasis japonica,c03.335.865.859.521
schistosomiasis mansoni,c03.335.865.859.576
"intestinal diseases, parasitic",c03.432
anisakiasis,c03.432.060
balantidiasis,c03.432.146
blastocystis infections,c03.432.250
cryptosporidiosis,c03.432.269
dientamoebiasis,c03.432.275
"dysentery, amebic",c03.432.396
giardiasis,c03.432.481
"liver diseases, parasitic",c03.518
"echinococcosis, hepatic",c03.518.314
fascioliasis,c03.518.424
"liver abscess, amebic",c03.518.600
"lung diseases, parasitic",c03.582
"echinococcosis, pulmonary",c03.582.314
mesomycetozoea infections,c03.600
rhinosporidiosis,c03.600.700
opportunistic infections,c03.684
aids-related opportunistic infections,c03.684.050
superinfection,c03.684.880
parasitemia,c03.695
"parasitic diseases, animal",c03.701
"helminthiasis, animal",c03.701.377
dictyocaulus infections,c03.701.377.315
dirofilariasis,c03.701.377.320
fascioloidiasis,c03.701.377.444
monieziasis,c03.701.377.656
setariasis,c03.701.377.820
"strongyle infections, equine",c03.701.377.840
toxocariasis,c03.701.377.868
"protozoan infections, animal",c03.701.688
babesiosis,c03.701.688.122
cryptosporidiosis,c03.701.688.235
dourine,c03.701.688.367
theileriasis,c03.701.688.735
"toxoplasmosis, animal",c03.701.688.817
"trypanosomiasis, bovine",c03.701.688.896
"pregnancy complications, parasitic",c03.718
protozoan infections,c03.752
amebiasis,c03.752.049
acanthamoeba keratitis,c03.752.049.203
blastocystis infections,c03.752.049.250
"dysentery, amebic",c03.752.049.328
entamoebiasis,c03.752.049.407
"liver abscess, amebic",c03.752.049.703
central nervous system protozoal infections,c03.752.100
ciliophora infections,c03.752.200
balantidiasis,c03.752.200.146
coccidiosis,c03.752.250
cryptosporidiosis,c03.752.250.269
cyclosporiasis,c03.752.250.280
isosporiasis,c03.752.250.410
sarcocystosis,c03.752.250.634
toxoplasmosis,c03.752.250.800
"toxoplasmosis, animal",c03.752.250.800.110
"toxoplasmosis, cerebral",c03.752.250.800.250
"toxoplasmosis, congenital",c03.752.250.800.445
"toxoplasmosis, ocular",c03.752.250.800.640
dientamoebiasis,c03.752.275
euglenozoa infections,c03.752.300
leishmaniasis,c03.752.300.500
"leishmaniasis, cutaneous",c03.752.300.500.400
"leishmaniasis, diffuse cutaneous",c03.752.300.500.400.350
"leishmaniasis, mucocutaneous",c03.752.300.500.400.385
"leishmaniasis, visceral",c03.752.300.500.510
trypanosomiasis,c03.752.300.900
chagas disease,c03.752.300.900.200
chagas cardiomyopathy,c03.752.300.900.200.190
dourine,c03.752.300.900.226
"trypanosomiasis, african",c03.752.300.900.719
"trypanosomiasis, bovine",c03.752.300.900.802
giardiasis,c03.752.400
malaria,c03.752.530
"malaria, avian",c03.752.530.606
"malaria, cerebral",c03.752.530.620
"malaria, falciparum",c03.752.530.650
blackwater fever,c03.752.530.650.228
"malaria, vivax",c03.752.530.700
"protozoan infections, animal",c03.752.625
babesiosis,c03.752.625.122
cryptosporidiosis,c03.752.625.235
dourine,c03.752.625.367
theileriasis,c03.752.625.735
"toxoplasmosis, animal",c03.752.625.817
"trypanosomiasis, bovine",c03.752.625.896
tick-borne diseases,c03.752.875
babesiosis,c03.752.875.175
theileriasis,c03.752.875.850
trichomonas infections,c03.752.890
trichomonas vaginitis,c03.752.890.633
"skin diseases, parasitic",c03.858
ectoparasitic infestations,c03.858.211
flea infestations,c03.858.211.250
tungiasis,c03.858.211.250.800
lice infestations,c03.858.211.465
mite infestations,c03.858.211.480
scabies,c03.858.211.480.708
trombiculiasis,c03.858.211.480.869
myiasis,c03.858.211.503
hypodermyiasis,c03.858.211.503.398
screw worm infection,c03.858.211.503.744
tick infestations,c03.858.211.857
larva migrans,c03.858.424
