hsa-mir-346,keloid
hsa-mir-632,diabetic nephropathies
hsa-mir-6852,emphysema
hsa-mir-664b,autoimmune lymphoproliferative syndrome
hsa-mir-19b-2,myositis ossificans
hsa-mir-135a-1,osteosarcoma
hsa-mir-4736,cognitive dysfunction
hsa-mir-374c,"carcinoma, embryonal"
hsa-mir-7107,salmonella infections
hsa-mir-3178,peritoneal neoplasms
hsa-mir-769,alzheimer disease
hsa-mir-3611,sarcoma
hsa-mir-3714,cryptosporidiosis
hsa-mir-562,"liver cirrhosis, biliary"
hsa-mir-652,porphyromonas gingivalis
hsa-mir-4534,gastrointestinal stromal tumors
hsa-mir-593,"squamous cell carcinoma, oral"
hsa-mir-455,vulvar squamous cell carcinoma
hsa-mir-4706,vasculitis
hsa-mir-548am,endocardial cushion defects
hsa-mir-1294,myasthenia gravis
hsa-mir-499b,"carcinoma, renal cell"
hsa-mir-628,friedreich ataxia
hsa-mir-200a,cardiomyopathies
hsa-mir-7847,huntington disease
hsa-mir-4319,"arthritis, psoriatic"
hsa-mir-1538,wounds and injuries
hsa-mir-3188,burkitt lymphoma
hsa-mir-1284,burkitt lymphoma
hsa-mir-31,fragile x syndrome
hsa-mir-449c,lesch-nyhan syndrome
hsa-mir-330,cone dystrophy
hsa-mir-1538,sjogren's syndrome
hsa-mir-7152,retinoblastoma
hsa-mir-7107,gastroduodenal ulcer
hsa-mir-5189,colitis
hsa-mir-16-2,uveitis
hsa-mir-3135b,antiphospholipid syndrome
hsa-mir-127,"leukemia, lymphocytic, chronic, b-cell"
hsa-mir-6869,cataract
hsa-mir-518c,intraductal papillary mucinous neoplasms
hsa-mir-1285-1,huntington disease
hsa-mir-541,"carcinoma, merkel cell"
hsa-mir-139,meningitis
hsa-mir-152,"sarcoidosis, pulmonary"
hsa-mir-302a,chromosome 5q deletion syndrome
hsa-mir-135b,aortic aneurysm
hsa-mir-4310,pediatric glioma
hsa-mir-675,neuralgia
hsa-mir-4721,foot-and-mouth disease
hsa-mir-885,"hand, foot and mouth disease"
hsa-mir-569,lung injury
hsa-mir-22,uterine corpus myxoid leiomyosarcoma
hsa-mir-517a,chromosome 5q deletion syndrome
hsa-mir-493,"carcinoma, basal cell"
hsa-mir-26a-2,colon adenoma
hsa-mir-1286,"sarcoma, endometrial stromal"
hsa-mir-7515,charcot-marie-tooth disease
hsa-mir-527,fever
hsa-mir-617,retinitis pigmentosa
hsa-mir-101-2,fever
hsa-mir-1914,respiratory system disease
hsa-mir-769,metabolic diseases
hsa-mir-892a,endomyocardial fibrosis
hsa-mir-4756,bone diseases
hsa-mir-4726,"leukemia, lymphocytic, chronic, b-cell"
hsa-mir-1301,hiv infections
hsa-mir-4723,huntington disease
hsa-mir-23b,cardiomyopathies
hsa-mir-5009,fatty liver
hsa-mir-1914,"squamous cell carcinoma, laryngeal or hypopharyngeal"
hsa-mir-34a,atrial fibrillation
hsa-mir-888,thrombosis
hsa-mir-1206,"adenocarcinoma, cervical"
hsa-mir-367,pulmonary heart disease
hsa-mir-10b,kidney neoplasms
hsa-mir-26a-1,essential hypertension
hsa-mir-4793,salivary gland neoplasms
hsa-mir-517a,sarcomatoid mesothelioma
hsa-mir-3130-1,lymphocytic choriomeningitis
hsa-mir-1307,"hypoxia-ischemia, brain"
hsa-mir-125a,methylmalonic acidemia
hsa-mir-21,"fatigue syndrome, chronic"
hsa-mir-4795,myocardial infarction
hsa-mir-149,"arrhythmias, cardiac"
hsa-mir-548j,nevus
hsa-mir-606,acquired immunodeficiency syndrome
hsa-mir-152,neurilemmoma
hsa-mir-548k,chikungunya fever
hsa-mir-410,"diabetes mellitus, type 2"
hsa-mir-631,"scleroderma, localized"
hsa-mir-548a-1,friedreich ataxia
hsa-mir-520c,cervix endometrial stromal tumor
hsa-mir-765,"heart defects, congenital"
hsa-mir-203b,"diabetes mellitus, type 2"
hsa-mir-340,testicular germ cell tumor
hsa-mir-196a-1,obesity
hsa-mir-527,allergic asthma
hsa-mir-320c-1,"arthritis, psoriatic"
hsa-mir-595,light-induced retinal injury
hsa-mir-3925,enterovirus infections
hsa-mir-34b,liver failure
hsa-mir-4764,"scleroderma, systemic"
hsa-mir-591,hellp syndrome
hsa-mir-939,cognitive dysfunction
hsa-mir-4258,intervertebral disc degeneration
hsa-mir-92b,early-stage lung carcinoma
hsa-mir-1307,cornea squamous cell carcinoma
hsa-mir-135b,hearing loss
hsa-mir-4306,choriocarcinoma
hsa-mir-544b,"carcinoma, endometrioid"
hsa-mir-556,"epilepsy, temporal lobe"
hsa-mir-362,liver diseases
hsa-mir-598,"sleep apnea, obstructive"
hsa-mir-2861,periodontitis
hsa-mir-4298,"hypoxia-ischemia, brain"
hsa-mir-325,uterine leiomyosarcoma
hsa-mir-515-1,"leukemia, b-cell"
hsa-mir-652,"purpura, thrombocytopenic, idiopathic"
hsa-mir-4487,balkan nephropathy
hsa-mir-4516,cervix endometrial stromal tumor
hsa-mir-20a,chronic pain
hsa-mir-4326,glaucoma
hsa-mir-106b,precursor b-cell lymphoblastic leukemia-lymphoma
hsa-mir-764,cryptosporidiosis
hsa-mir-512-2,early-stage lung adenocarcinoma
hsa-mir-588,prediabetic state
hsa-mir-369,white spot syndrome virus 1
hsa-mir-450b,"pemphigus, benign familial"
hsa-mir-4746,esophagitis
hsa-mir-1296,"squamous cell carcinoma, cerevial"
hsa-mir-562,gout
hsa-mir-2110,"neoplasms, neuroepithelial"
hsa-mir-1261,porphyromonas gingivalis
hsa-mir-31,peritoneal fibrosis
hsa-mir-1233-1,recurrent wheezing
hsa-mir-3620,bronchopneumonia
hsa-mir-302f,"leukemia, t-cell"
hsa-mir-520h,hyperaldosteronism
hsa-mir-20a,peritoneal neoplasms
hsa-mir-329-2,endometrial neoplasms
hsa-mir-524,adrenal cortex neoplasms
hsa-mir-127,borna disease
hsa-mir-524,dengue
hsa-mir-6126,childhood leukemia
hsa-mir-223,uveitis
hsa-mir-548e,osteopetrosis
hsa-mir-147b,seizures
hsa-mir-1228,mastitis
hsa-mir-762,"leukemia, promyelocytic, acute"
hsa-mir-1247,thrombosis
hsa-mir-662,"carcinoma, ovarian, clear cell"
hsa-mir-101-1,"arthritis, psoriatic"
hsa-mir-648,intraductal papillary mucinous neoplasms
hsa-mir-1973,legg-calve-perthes disease
hsa-mir-449b,congenital deafness
hsa-mir-3666,fatty liver
hsa-mir-606,"malaria, falciparum"
hsa-mir-7-2,leiomyoma
hsa-mir-3646,arbovirus infections
hsa-mir-548c,distal myopathies
hsa-mir-1247,cholangiocarcinoma
hsa-mir-891a,diabetic foot
hsa-mir-1468,rectal neoplasms
hsa-let-7a-1,esophagitis
hsa-mir-645,blindness
hsa-mir-378a,oropharyngeal neoplasms
hsa-mir-181a-2,"adenocarcinoma, colon"
hsa-mir-188,medulloblastoma
hsa-mir-1231,hyperaldosteronism
hsa-mir-6861,silicosis
hsa-mir-4687,"leukemia, t-cell"
hsa-mir-124-2,"rhinitis, allergic"
hsa-mir-487a,liver neoplasms
hsa-mir-1468,hyperaldosteronism
hsa-mir-4500,mandibular prognathism
hsa-mir-1249,coronavirus infections
hsa-mir-154,autistic disorder
hsa-mir-584,"lymphoma, mantle-cell"
hsa-mir-378b,colitis
hsa-mir-2113,aortic valve stenosis
hsa-mir-4648,intraductal papillary mucinous neoplasms
hsa-mir-4448,"carcinoma, signet ring cell"
hsa-mir-3157,"lymphoma, follicular"
hsa-mir-3909,"rhinitis, vasomotor"
hsa-mir-329-2,recurrent wheezing
hsa-mir-1271,staphylococcal scalded skin syndrome
hsa-mir-5009,neutropenia
hsa-mir-1245a,"adenocarcinoma, cervical"
hsa-mir-181a-1,primary ovarian insufficiency
hsa-mir-370,"leukemia, t-cell"
hsa-mir-4469,skin hemangioma
hsa-mir-455,coloboma
hsa-mir-514a-1,"hepatitis c, chronic"
hsa-mir-4531,nut midline carcinoma
hsa-mir-644a,complex regional pain syndromes
hsa-mir-1181,cataract
hsa-mir-4701,"leukoplakia, oral"
hsa-mir-1909,cervix endometrial stromal tumor
hsa-mir-758,hearing disorders
hsa-mir-1285-1,cryptosporidiosis
hsa-mir-6782,lesch-nyhan syndrome
hsa-mir-1299,tourette syndrome
hsa-mir-210,"muscular dystrophy, facioscapulohumeral"
hsa-mir-497,medulloblastoma
hsa-mir-570,aneurysm
hsa-mir-519b,schistosomiasis japonica
hsa-let-7a-2,chronic pain
hsa-mir-320a,small intestine carcinoma
hsa-mir-550a-2,"lipid metabolism, inborn errors"
hsa-mir-1469,pancreatic diseases
hsa-mir-507,parkinson disease
hsa-mir-320b-2,hearing loss
hsa-mir-4513,diabetic cardiomyopathies
hsa-mir-1827,li-fraumeni syndrome
hsa-mir-1233-2,"carcinoma, islet cell"
hsa-mir-181b-2,"lymphoma, primary effusion"
hsa-mir-151b,chromosome 15q13.3 microdeletion syndrome
hsa-mir-578,"hypoxia-ischemia, brain"
hsa-mir-3151,endometrial neoplasms
hsa-mir-329-1,pten hamartoma tumor tyndrome
hsa-mir-452,ependymoma
hsa-mir-1229,skin neoplasms
hsa-mir-125b-1,"lymphoma, t-cell, cutaneous"
hsa-mir-504,"cardiomyopathy, hypertrophic"
hsa-mir-647,cerebral cavernous malformations
hsa-mir-3916,"lymphoma, t-cell"
hsa-mir-1538,frontotemporal dementia
hsa-mir-378f,myasthenia gravis
hsa-mir-132,"sarcoidosis, pulmonary"
hsa-mir-148b,retinal vascular disease
hsa-mir-501,atherosclerosis
hsa-mir-1203,nut midline carcinoma
hsa-mir-302d,brucellosis
hsa-mir-26b,monocytic leukemia
hsa-mir-212,intellectual disability
hsa-mir-320d-1,"aortic aneurysm, thoracic"
hsa-mir-664b,proliferative glomerulonephritis
hsa-mir-519a-1,"dermatitis, atopic"
hsa-mir-340,"lymphoma, mantle-cell"
hsa-mir-376c,retinal degeneration
hsa-mir-569,salivary gland disease
hsa-mir-9-2,pancreatic serous cystic neoplasm
hsa-mir-6508,liver diseases
hsa-mir-1258,osteopetrosis
hsa-mir-5692b,"brain injuries, traumatic"
hsa-mir-943,"hemorrhagic fever, ebola"
hsa-mir-145,rhinosinusitis
hsa-mir-9-3,cerebral cavernous malformations
hsa-mir-1915,behcet syndrome
hsa-mir-3677,irritable bowel syndrome
hsa-mir-658,gerstmann-straussler-scheinker disease
hsa-mir-206,early-stage colon adenocarcinoma
hsa-mir-7152,periodontitis
hsa-mir-1292,essential hypertension
hsa-mir-602,muscular diseases
hsa-mir-7-1,dermatomyositis
hsa-mir-10b,"cardiomyopathy, ischemic"
hsa-mir-769,osteogenesis imperfecta
hsa-mir-512-1,neurofibromatosis type 2
hsa-mir-583,"hand, foot and mouth disease"
hsa-mir-605,epstein-barr virus infections
hsa-mir-573,digestive system neoplasms
hsa-mir-933,"squamous cell carcinoma, oral"
hsa-mir-518e,foot-and-mouth disease
hsa-mir-412,renal oncocytoma
hsa-mir-889,infectious bursal disease virus
hsa-mir-1973,skin diseases
hsa-mir-1297,li-fraumeni syndrome
hsa-mir-378h,"dermatitis, atopic"
hsa-mir-564,"obstetric labor, premature"
hsa-mir-4782,mycosis fungoides
hsa-mir-7-3,arteriosclerosis obliterans
hsa-mir-3976,seizures
hsa-mir-4489,emphysema
hsa-mir-1181,acquired immunodeficiency syndrome
hsa-mir-630,cardio-renal syndrome
hsa-mir-676,spinal stenosis
hsa-mir-412,"myasthenic syndromes, congenital"
hsa-mir-671,congenital deafness
hsa-mir-323a,prostatic neoplasms
hsa-mir-643,"lymphoma, b-cell"
hsa-mir-1185-1,musculoskeletal abnormalities
hsa-mir-6799,"hernia, diaphragmatic"
hsa-mir-4726,colorectal neoplasms
hsa-mir-1226,"carcinoma, ductal"
hsa-mir-5009,myocarditis
hsa-mir-1271,idiopathic pulmonary fibrosis
hsa-mir-191,atypical teratoid tumor
hsa-mir-626,"leukemia, myeloid, chronic-phase"
hsa-mir-648,rapidly progressive glomerulonephritis
hsa-mir-941-4,prostatic neoplasms
hsa-mir-297,thymoma
hsa-mir-155,pulmonary fibrosis
hsa-mir-522,"rhabdomyosarcoma, alveolar"
hsa-mir-765,adrenocortical carcinoma
hsa-mir-3646,"carcinoma, ductal"
hsa-mir-125a,"carcinoma, renal cell"
hsa-mir-7109,glomerulonephritis
hsa-mir-378d-2,cardio-renal syndrome
hsa-mir-1538,rhabdoid tumor
hsa-mir-592,retinoblastoma
hsa-mir-1203,thymoma
hsa-mir-4726,lung diseases
hsa-mir-326,"leukemia, lymphoblastic, acute, t-cell"
hsa-mir-302f,neurilemmoma
hsa-mir-606,atherosclerosis
hsa-mir-1252,"hypoxia-ischemia, brain"
hsa-mir-541,"heart defects, congenital"
hsa-mir-1290,allergic asthma
hsa-mir-662,encephalomyelitis
hsa-mir-509-3,primary ovarian insufficiency
hsa-mir-497,hearing disorders
hsa-mir-181b-1,uterine carcinosarcoma
hsa-mir-518a-1,"arthritis, juvenile"
hsa-mir-921,foot-and-mouth disease
hsa-mir-4436b-1,astrocytoma
hsa-mir-203a,familial primary pulmonary hypertension
hsa-mir-363,laryngeal neoplasms
hsa-mir-335,becker muscular dystrophy
hsa-mir-374b,epilepsy
hsa-mir-508,idiopathic short stature
hsa-mir-892b,nevus
hsa-mir-635,"niemann-pick disease, type c"
hsa-mir-23c,cytomegalovirus retinitis
hsa-mir-129-1,colorectal adenoma
hsa-mir-129-1,chronic inflammation
hsa-mir-320a,distal myopathies
hsa-mir-5000,arteriovenous malformations
hsa-mir-3686,hyperlipidemias
hsa-mir-4648,bile duct neoplasms
hsa-mir-3126,prediabetic state
hsa-mir-665,precursor cell lymphoblastic leukemia-lymphoma
hsa-mir-4458,oral submucous fibrosis
hsa-mir-647,peripheral nerve injuries
hsa-mir-532,spondylarthritis
hsa-mir-1260a,"osteoarthritis, knee"
hsa-mir-429,encephalomyelitis
hsa-mir-376b,chorioamnionitis
hsa-mir-564,biliary atresia
hsa-mir-652,angiomyolipoma
hsa-mir-376a-1,keratitis
hsa-mir-105-1,chronic pain
hsa-mir-802,bone diseases
hsa-mir-30b,lupus nephritis
hsa-mir-138-1,"gastritis, atrophic"
hsa-mir-378b,pediatric obesity
hsa-mir-616,creutzfeldt-jakob syndrome
hsa-mir-29b-1,lesch-nyhan syndrome
hsa-mir-302b,proliferative diabetic retinopathy
hsa-mir-1203,psychotic disorders
hsa-let-7f-1,lesch-nyhan syndrome
hsa-mir-1295b,"angina, unstable"
hsa-mir-503,b-cell childhood acute lymphoblastic leukemia
hsa-mir-2116,mouth neoplasms
hsa-mir-645,early-stage colon adenocarcinoma
hsa-mir-34b,neutropenia
hsa-mir-4478,hematologic neoplasms
hsa-mir-1305,essential hypertension
hsa-mir-570,inner ear inflammation
hsa-mir-302a,endometriosis
hsa-mir-616,marek disease
hsa-mir-4723,intellectual disability
hsa-mir-18a,thrombocytopenia
hsa-mir-129-1,"neuroectodermal tumors, primitive"
hsa-mir-548a-1,"carcinoma, adenoid cystic"
hsa-mir-4449,cardiomegaly
hsa-mir-664b,chronic inflammation
hsa-mir-761,esophagitis
hsa-mir-147a,gastric cardia adenocarcinoma
hsa-mir-874,muscular atrophy
hsa-mir-181a-1,triple negative breast neoplasms
hsa-mir-138-2,aortic valve disease
hsa-mir-606,multiple sclerosis
hsa-mir-6853,heart failure
hsa-mir-1180,acute lung injury
hsa-mir-199a-2,"muscular dystrophy, facioscapulohumeral"
hsa-mir-942,proliferative glomerulonephritis
hsa-mir-548q,"carcinoma, neuroendocrine"
hsa-mir-4731,bone diseases
hsa-mir-4436b-2,gastric cardia adenocarcinoma
hsa-mir-208b,giant cell tumor of bone
hsa-mir-302c,follicular atresia
hsa-mir-181a-2,nephrotic syndrome
hsa-mir-1238,myocardial infarction
hsa-mir-1302-1,neoplasms
hsa-mir-3663,odontogenic tumors
hsa-mir-670,polycythemia vera
hsa-mir-519a-1,graves ophthalmopathy
hsa-mir-493,"glomerulosclerosis, focal segmental"
hsa-mir-301a,wound healing
hsa-mir-7107,ovarian germ cell cancer
hsa-mir-631,colorectal adenocarcinoma
hsa-mir-5000,"thyroid carcinoma, anaplastic"
hsa-mir-6826,growth disorders
hsa-mir-9500,"carcinoma, nasopharyngeal"
hsa-mir-520h,pediatric glioma
hsa-mir-450a-1,borna disease
hsa-mir-495,liver transplant rejection
hsa-mir-646,inner ear inflammation
hsa-mir-208a,thyroid lymphoma
hsa-mir-610,wound healing
hsa-mir-376c,moyamoya disease
hsa-mir-450a-1,cutaneous melanoma
hsa-mir-769,"colitis, ulcerative"
hsa-mir-4455,"leukemia, b-cell"
hsa-mir-548e,retinal neovascularization
hsa-mir-921,"lymphoma, mantle-cell"
hsa-mir-223,dengue
hsa-mir-1276,anodontia
hsa-mir-199b,pancreatic diseases
hsa-mir-3151,kidney neoplasms
hsa-mir-1277,lymphoproliferative disorders
hsa-mir-520e,idiopathic pulmonary fibrosis
hsa-mir-4701,sciatic nerve injury
hsa-mir-93,cardiomyopathies
hsa-mir-99b,"ectodermal dysplasia 1, anhidrotic"
hsa-mir-4778,fever
hsa-mir-671,"thyroiditis, autoimmune"
hsa-mir-7152,early-stage colon adenocarcinoma
hsa-mir-1972-1,"leukemia, myelogenous, chronic, bcr-abl positive"
hsa-mir-4447,inflammatory bowel diseases
hsa-mir-1264,cleidocranial dysplasia
hsa-mir-4458,chronic cerebral hypoperfusion
hsa-mir-4469,neuroblastoma
hsa-mir-1275,granulosa cell tumor
hsa-mir-4775,dental enamel hypoplasia
hsa-mir-498,small intestine carcinoma
hsa-mir-4697,proliferative glomerulonephritis
hsa-mir-125b-2,graft rejection
hsa-mir-509-2,melanosis
hsa-mir-4639,infectious bursal disease virus
hsa-mir-95,amyotrophic lateral sclerosis
hsa-mir-938,skin diseases
hsa-mir-6133,osteogenesis imperfecta
hsa-mir-4664,li-fraumeni syndrome
hsa-mir-135a-2,early-stage lung carcinoma
hsa-mir-606,microvascular disease
hsa-mir-558,acute lung injury
hsa-mir-484,atrial fibrillation
hsa-mir-641,"muscular atrophy, spinal"
hsa-mir-940,"lung diseases, interstitial"
hsa-mir-497,inflammatory bowel diseases
hsa-mir-301a,panic disorder
hsa-mir-28,holt-oram syndrome
hsa-mir-23c,leukemia
hsa-mir-1228,mandibular prognathism
hsa-mir-611,"purpura, thrombocytopenic, idiopathic"
hsa-mir-4466,"carcinoma, urothelial"
hsa-mir-502,salivary gland neoplasms
hsa-mir-516b-1,sebaceous carcinoma
hsa-mir-20b,angiomyolipoma
hsa-mir-487b,hodgkin disease
hsa-mir-135a-1,"carcinoma, neuroendocrine"
hsa-mir-624,"rhinitis, allergic, perennial"
hsa-mir-3662,hypoxia
hsa-mir-6852,b-cell childhood acute lymphoblastic leukemia
hsa-mir-1249,corneal neovascularization
hsa-mir-544a,"leprosy, lepromatous"
hsa-mir-1827,inherited hemoglobin disease
hsa-mir-198,keratitis
hsa-mir-138-1,"anemia, aplastic"
hsa-mir-199a-1,varicocele
hsa-mir-302f,"depressive disorder, major"
hsa-mir-548j,"hemorrhagic fever, ebola"
hsa-mir-320e,wounds and injuries
hsa-mir-152,"carcinoma, ovarian, clear cell"
hsa-mir-4469,pten hamartoma tumor tyndrome
hsa-mir-4721,head and neck neoplasms
hsa-mir-130b,myotonic dystrophy
hsa-mir-1206,"adenocarcinoma, sebaceous"
hsa-mir-367,meningitis
hsa-mir-92a-1,tetralogy of fallot
hsa-mir-548k,hemophilia a
hsa-mir-3163,cystic fibrosis
hsa-mir-106b,sarcoma
hsa-mir-6853,atherosclerosis
hsa-mir-216b,"depressive disorder, major"
hsa-mir-4518,mitral valve disease
hsa-mir-1292,"ectodermal dysplasia 1, anhidrotic"
hsa-mir-770,"influenza, human"
hsa-mir-1269b,"respiratory distress syndrome, adult"
hsa-mir-4484,"carcinoma, tounge"
hsa-mir-548j,prion diseases
hsa-mir-502,white spot syndrome virus 1
hsa-mir-181b-2,laryngeal neoplasms
hsa-mir-4271,thrombosis
hsa-mir-1285-1,dengue shock syndrome
hsa-mir-593,hypogonadism
hsa-mir-181d,parathyroid neoplasms
hsa-mir-617,"influenza, human"
hsa-mir-3924,osteopetrosis
hsa-mir-769,inferior wall myocardial infarction
hsa-mir-125a,"carcinoma, signet ring cell"
hsa-mir-507,"hemorrhagic fever, ebola"
hsa-let-7i,hyperhomocysteinemia
hsa-mir-548t,"cardiomyopathy, alcoholic"
hsa-mir-519c,ischemia
hsa-mir-3941,graft vs host disease
hsa-mir-4484,leukemia
hsa-mir-1303,"lymphoma, b-cell"
hsa-mir-1179,"sleep apnea, obstructive"
hsa-mir-211,reproductive system disease
hsa-mir-571,moyamoya disease
hsa-mir-941-4,peripheral nervous system diseases
hsa-mir-765,hemoglobin sc disease
hsa-mir-196a-2,"carcinoma, ductal"
hsa-mir-1226,"squamous cell carcinoma, lung"
hsa-mir-151b,sarcoma
hsa-mir-3976,"carcinoma, thyroid, medullary"
hsa-mir-579,"squamous cell carcinoma, cerevial"
hsa-mir-6852,pain
hsa-mir-3130-1,"cytotoxicity tests, immunologic"
hsa-mir-4284,mesothelioma
hsa-mir-7-2,varicocele
hsa-mir-185,bone diseases
hsa-mir-3189,lesch-nyhan syndrome
hsa-mir-29c,chordoma
hsa-mir-5193,rhabdoid tumor
hsa-mir-320b-1,"fatty liver, alcoholic"
hsa-mir-611,immunologic deficiency syndromes
hsa-mir-1276,sjogren's syndrome
hsa-mir-325,"pemphigus, benign familial"
hsa-mir-3622b,idiopathic pulmonary fibrosis
hsa-mir-5699,lupus vulgaris
hsa-mir-139,hirschsprung disease
hsa-mir-3170,digeorge syndrome
hsa-mir-378h,x-linked alport syndrome
hsa-mir-550a-1,"leukemia, myeloid, acute"
hsa-mir-616,"anemia, sickle cell"
hsa-mir-381,"carcinoma, gastrooesophageal"
hsa-mir-3666,hematologic neoplasms
hsa-mir-1268a,allergic asthma
hsa-mir-1303,retinal neovascularization
hsa-mir-3909,porphyromonas gingivalis
hsa-mir-7109,invasive bladder transitional cell carcinoma
hsa-mir-3686,neuroma
hsa-mir-95,gastroduodenal ulcer
hsa-mir-1285-2,arbovirus infections
hsa-mir-18b,"depressive disorder, major"
hsa-mir-544b,uveomeningoencephalitic syndrome
hsa-mir-2110,cognitive dysfunction
hsa-mir-4447,kidney osteogenic sarcoma
hsa-mir-767,wound inflammation
hsa-mir-3177,lesch-nyhan syndrome
hsa-mir-153-2,diarrhea
hsa-mir-711,peripheral nervous system diseases
hsa-mir-941-1,becker muscular dystrophy
hsa-mir-3195,neuroblastoma
hsa-mir-4480,adenosquamous pancreas carcinoma
hsa-mir-345,cutaneous lupus erythematosus
hsa-mir-4497,lung diseases
hsa-mir-184,"lymphoma, t-cell, cutaneous"
hsa-mir-888,complex regional pain syndromes
hsa-mir-4649,hantavirus infections
hsa-mir-32,gout
hsa-mir-617,follicular atresia
hsa-mir-544a,osteopetrosis
hsa-mir-448,hemangiosarcoma
hsa-mir-3186,"fatigue syndrome, chronic"
hsa-mir-33b,bronchiolitis obliterans
hsa-mir-409,"thyroid carcinoma, anaplastic"
hsa-mir-92a-1,venous thromboembolism
hsa-mir-1909,"muscular dystrophy, duchenne"
hsa-mir-1229,amyotrophic lateral sclerosis
hsa-mir-1265,uterine carcinosarcoma
hsa-mir-3131,"carcinoma, nasopharyngeal"
hsa-mir-4286,"malaria, cerebral"
hsa-mir-558,reperfusion injury
hsa-mir-4319,polycystic ovary syndrome
hsa-mir-210,pelvic inflammatory disease
